epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.72613,2.38861,4.39489,1.84595,0.05069,0.1269,0.02865,0.01583,2.05219,3.95045,1.58813,5.001e-05,5.001e-05,5.001e-05
2,22.9964,2.28464,4.02583,1.77414,0.19927,0.30254,0.1445,0.07497,1.8239,2.56288,1.3687,0.000116112,0.000116112,0.000116112
3,26.2367,1.71048,2.215,1.39341,0.31121,0.50156,0.29776,0.14944,1.69134,4.45156,1.28345,0.000181555,0.000181555,0.000181555
4,28.4975,1.58094,1.60395,1.24439,0.2643,0.64713,0.29074,0.14016,1.66169,3.66956,1.27,0.000246337,0.000246337,0.000246337
5,30.4218,1.51324,1.33255,1.19997,0.3133,0.64075,0.3404,0.17496,1.68117,3.13342,1.29504,0.000310459,0.000310459,0.000310459
6,32.5289,1.58086,1.33421,1.23971,0.3786,0.64106,0.39844,0.19873,1.71414,2.25279,1.30215,0.000373921,0.000373921,0.000373921
7,34.6288,1.42711,1.14819,1.15987,0.45624,0.58599,0.46291,0.22808,1.7127,1.85335,1.27943,0.000436722,0.000436722,0.000436722
8,36.6296,1.51405,1.10594,1.2025,0.4318,0.55161,0.42834,0.22572,1.70136,2.00929,1.29207,0.000498864,0.000498864,0.000498864
9,38.3826,1.43136,1.01475,1.17902,0.44141,0.46414,0.41728,0.20811,1.78313,2.16797,1.3727,0.000560345,0.000560345,0.000560345
10,40.1274,1.45398,1.02703,1.16471,0.40562,0.5097,0.42306,0.21574,1.71314,2.23837,1.33582,0.000621167,0.000621167,0.000621167
11,41.8402,1.39576,0.99854,1.16615,0.54626,0.46118,0.48621,0.25584,1.68715,2.08721,1.33021,0.000681328,0.000681328,0.000681328
12,43.8912,1.48849,1.00009,1.16368,0.56229,0.52522,0.53056,0.25821,1.74032,1.85511,1.38416,0.000740829,0.000740829,0.000740829
13,45.9435,1.44289,0.97169,1.15926,0.50281,0.56881,0.46759,0.22565,1.7595,1.75607,1.40051,0.00079967,0.00079967,0.00079967
